document;love;big;don;role;bad;isn;year;show;feel;back;turn;good;life;scene;plai;cast;world;act;audienc;plot;find;friend;action;end;man;make;live;doesn;set;star;movi;director;work;made;perform;film;great;funni;script;stori;actor;charact;watch;comedi;gui;time;thing
positivo (819).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48362537360917135;0;0;0;0;0;0;0;0;0;0;0.19233263108369605;0.5719280675214431;0;0;0.545686914011039;0.1018160644908706;0;0;0;0;0;0;0;0;0;0.30638574296415905;0
positivo (966).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4407066710932265;0;0.8080565122308025;0;0;0.17287498772218032;0;0;0;0;0.24101656500439325;0;0.25057853939214375;0;0;0.04536466361560048;0;0;0;0;0;0;0;0;0;0;0
negativo (732).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31999871582215816;0;0;0.4591788839108583;0;0.09034628449977118;0;0;0;0.5268395864410556;0;0.6332718006340186;0;0;0;0;0
negativo (416).txt;0;0;0;0;0;0;0;0;0.723185098739375;0.4837094403982011;0;0.36307963678061433;0;0;0.2575474705392576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21182768469930255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (394).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.967529625899097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2527576368926435;0;0;0;0;0;0;0;0;0;0;0
positivo (205).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5197467611513817;0;0.3447727873810411;0;0.3584511358483789;0;0;0.19468165837151627;0;0.4976682208266245;0;0.2838135650845948;0;0.341149625106219;0;0;0;0;0
negativo (65).txt;0;0;0;0;0;0;0;0;0;0;0;0.47602382397123005;0;0;0.3376634747882973;0;0;0;0;0;0;0;0.581948261684;0;0;0;0;0;0;0.2589544481513582;0.4165822630027946;0;0;0;0;0.044105637526674304;0.27960225714599063;0;0;0;0;0;0;0;0;0;0
negativo (901).txt;0;0.6359147983889829;0;0;0;0;0;0.6229510433662903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42585669304652857;0;0;0;0;0.15832406788216294;0;0;0;0;0.03352511410075283;0;0;0;0;0;0;0;0;0;0;0
positivo (853).txt;0;0.29219964768708456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3095401400648174;0;0;0;0;0.32280388365688445;0;0;0;0;0;0;0;0;0;0.4326593857135314;0;0;0;0.15404621112335165;0.2929670950260811;0;0;0.17965905872143237;0.2899284545102154;0;0.5491010254820007;0;0;0;0
negativo (529).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9618517530478466;0;0;0;0;0;0;0;0;0;0;0;0.23821711637857326;0;0;0;0;0.1345132358657009;0;0;0;0;0;0;0;0;0;0;0
negativo (450).txt;0.25569698577866856;0;0.27097152786623546;0;0;0;0;0;0;0;0;0;0;0.3786740223598139;0.2662379071479053;0;0;0;0;0;0;0.48582110825640407;0;0;0;0;0;0;0;0;0.10948769819452026;0;0;0;0;0.15456010041935075;0;0.4741257137209804;0;0;0;0;0;0;0;0.387586276589355;0
positivo (368).txt;0.6079117538905392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47597373637339524;0;0;0;0;0;0;0;0;0;0;0;0.360841080844411;0;0;0.12248730196707162;0;0;0;0;0;0;0;0;0.5086087661418578;0;0
