document;love;bad;year;movi;work;film;good;life;stori;scene;plai;charact;plot;action;end;time;make;thing
positivo (819).txt;0;0;0;0.31181703308855013;0;0.16208333094366192;0;0;0;0;0;0;0.791380525359568;0;0;0.5002159491536384;0;0
negativo (732).txt;0;0;0;0.35768817524559665;0;0.09916121268718966;0;0;0.5935456252212143;0;0;0.7140937011125633;0;0;0;0;0;0
positivo (966).txt;0;0;0;0.26623974184199956;0.2793003896398854;0.049206091587921455;0;0;0;0;0;0;0;0.9009426444029801;0;0;0.19232473646860923;0
negativo (416).txt;0;0;0;0.42704492046487613;0;0;0.7374375711173847;0;0;0;0.5232766616328687;0;0;0;0;0;0;0
negativo (394).txt;0;0;0;0;0;0.24666147372643607;0;0;0;0;0.969101706416361;0;0;0;0;0;0;0
positivo (205).txt;0;0;0;0.49430175471335985;0.5185502049241454;0.27406867111068106;0;0;0.4101206922032522;0;0;0.49341548577519406;0;0;0;0;0;0
negativo (65).txt;0;0;0;0.4475946255947705;0;0.04653217761088727;0.5152823941557702;0;0;0;0.3656380710349013;0;0;0.6310995665253147;0;0;0;0
negativo (901).txt;0;0;0;0.3454156382010685;0;0.0718191904337195;0;0;0;0;0;0;0;0;0;0;0.9356976225103886;0
positivo (853).txt;0;0;0;0;0;0.6410880016944742;0;0;0.7674673765596721;0;0;0;0;0;0;0;0;0
negativo (529).txt;0;0;0;0.8745651346214127;0;0.484908058609702;0;0;0;0;0;0;0;0;0;0;0;0
negativo (450).txt;0.3756735970420813;0;0;0.15934843091072823;0;0.2208793125193365;0;0;0;0.5563262997537112;0.3905130864108234;0;0;0;0;0.5680583886335759;0;0
negativo (281).txt;0;0;0;0.8032598745916433;0;0;0;0;0;0.4314440820690039;0;0;0;0;0;0;0;0.41064531888072486
positivo (368).txt;0.8480622403066247;0;0;0;0.5031555177632332;0.16620758559861645;0;0;0;0;0;0;0;0;0;0;0;0
negativo (134).txt;0;0;0;0.8782119541236834;0;0;0;0;0;0;0.4782716420971053;0;0;0;0;0;0;0
positivo (684).txt;0;0;0;0.4773451265268992;0;0.3789549705113297;0;0;0;0;0;0;0;0;0;0.5569131782756571;0.5642539077123718;0
negativo (676).txt;0;0;0;0.34494651939319537;0;0;0.5294816878328553;0.7750232519145412;0;0;0;0;0;0;0;0;0;0
negativo (992).txt;0;0;0;0.5183095428069505;0;0.38796291629527246;0;0;0;0;0.7621285937523388;0;0;0;0;0;0;0
negativo (895).txt;0;0;0;0.4429304568976212;0;0.09209457625745167;0;0;0;0;0;0;0;0;0.75560634957848;0.4736984735600364;0;0
positivo (199).txt;0;0;0;0;0;0.10523904783498865;0;0;0.629925499620006;0.4417740575449442;0.31010317287621275;0;0;0;0;0;0.5484435358281223;0
positivo (634).txt;0;0;0;0;0;0.14224519980941028;0.3500394822499939;0.5123666107174456;0;0;0.6520072811235775;0;0;0;0;0;0.4118320356420748;0
negativo (400).txt;0;0;0;0.2656577681232004;0;0.04418867874865778;0;0;0;0;0;0;0.5393839637836217;0.7191786183781623;0;0;0.3454278005415806;0
positivo (706).txt;0;0;0;0.4045661749842405;0;0;0.6209959200271427;0;0.6713346984688513;0;0;0;0;0;0;0;0;0
negativo (748).txt;0;0;0;0;0;0.2430822552241577;0;0;0.9700056789499417;0;0;0;0;0;0;0;0;0
positivo (41).txt;0;0;0;0.29915920052245487;0;0;0.5510395711265671;0;0;0;0.4398872912266107;0;0;0;0;0.511904311594207;0.38898883092447606;0
positivo (57).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4180022297602221;0.6352679397127121;0.64939108454663
positivo (424).txt;0;0;0;0;0;0.45743623370408143;0;0;0;0;0;0;0;0;0.7506234064160809;0;0.4767773000415855;0
negativo (789).txt;0;0;0;0.13083828959588123;0;0.10881615071566456;0;0;0.5699197287212987;0.34259255535637917;0.24048274588639562;0.5877166512462126;0;0;0;0;0.3544282972994042;0
positivo (571).txt;0;0;0;0.36273302267064705;0;0.22625951882888407;0;0;0;0;0;0;0;0;0;0;0;0.9040085090327069
negativo (2).txt;0;0;0;0.8281604354017371;0;0;0;0;0;0;0;0;0;0.560491117891448;0;0;0;0
negativo (247).txt;0;0;0;0;0;0.20150577413119233;0.5578525606452527;0;0;0;0;0;0;0;0;0;0;0.8051061691313286
positivo (352).txt;0.7511361857944895;0;0;0;0;0.1766538246318108;0;0;0;0;0;0.6360722102348597;0;0;0;0;0;0
negativo (660).txt;0;0;0.7508092720367309;0;0;0.25456399274840835;0;0;0.6094937330437964;0;0;0;0;0;0;0;0;0
negativo (491).txt;0;0;0;0.3130238451496358;0;0;0;0;0;0;0.30684935443901645;0;0.6355546971142986;0.6355546971142986;0;0;0;0
positivo (578).txt;0;0;0;0;0.7193152509788074;0.11880586312650651;0;0;0;0;0;0.6844492213422855;0;0;0;0;0;0
negativo (466).txt;0;0;0;0;0;0.14428624374992732;0;0;0;0;0;0;0;0;0;0.9895359922026771;0;0
negativo (513).txt;0;0.6831273168049696;0;0.4964214345962301;0;0.20643295556811642;0;0;0.4942552611390956;0;0;0;0;0;0;0;0;0
positivo (3).txt;0.5737399060167315;0;0.4974644885347187;0;0.5106000227687928;0.06746669289707308;0;0;0;0;0.397602144094877;0;0;0;0;0;0;0
positivo (108).txt;0;0;0;0.5001476109871371;0;0.0891353386120844;0;0;0;0;0;0;0.725346757212736;0;0;0;0.4645205489914702;0
negativo (175).txt;0;0.6222135919246994;0;0.482299809643192;0;0.07521022076904606;0;0;0;0;0;0;0.6120298704590944;0;0;0;0;0
negativo (635).txt;0.6524418870551658;0;0;0.27674447121454077;0;0.13426235117981244;0;0;0;0;0;0;0.6243267665323448;0;0;0;0.2998696238617947;0
negativo (951).txt;0;0;0;0;0.30333082739415795;0.27053839863255036;0;0;0;0;0;0.7215700916132786;0;0;0;0;0;0.5604783554312471
