document;love;bad;year;movi;work;film;good;life;stori;scene;plai;charact;plot;action;end;time;make;thing
positivo (819).txt;0;0;0;0.5207556439232955;0;0.6509445549041194;0;0;0;0;0;0;0.39056673294247163;0;0;0.39056673294247163;0;0
negativo (732).txt;0;0;0;0.6546536707079772;0;0.4364357804719848;0;0;0.4364357804719848;0;0;0.4364357804719848;0;0;0;0;0;0
positivo (966).txt;0;0;0;0.6428571428571429;0.21428571428571427;0.2857142857142857;0;0;0;0;0;0;0;0.6428571428571429;0;0;0.21428571428571427;0
negativo (416).txt;0;0;0;0.7427813527082074;0;0;0.5570860145311556;0;0;0;0.3713906763541037;0;0;0;0;0;0;0
negativo (394).txt;0;0;0;0;0;0.8320502943378437;0;0;0;0;0.5547001962252291;0;0;0;0;0;0;0
positivo (205).txt;0;0;0;0.5669467095138409;0.1889822365046136;0.7559289460184544;0;0;0.1889822365046136;0;0;0.1889822365046136;0;0;0;0;0;0
negativo (65).txt;0;0;0;0.7912565680749444;0;0.1978141420187361;0.3956282840374722;0;0;0;0.2637521893583148;0;0;0.3296902366978935;0;0;0;0
negativo (901).txt;0;0;0;0.5962847939999439;0;0.29814239699997197;0;0;0;0;0;0;0;0;0;0;0.7453559924999299;0
positivo (853).txt;0;0;0;0;0;0.9805806756909202;0;0;0.19611613513818404;0;0;0;0;0;0;0;0;0
negativo (529).txt;0;0;0;0.6;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0
negativo (450).txt;0.16012815380508713;0;0;0.24019223070763068;0;0.8006407690254357;0;0;0;0.24019223070763068;0.24019223070763068;0;0;0;0;0.40032038451271784;0;0
positivo (368).txt;0.48666426339228763;0;0;0;0.3244428422615251;0.8111071056538127;0;0;0;0;0;0;0;0;0;0;0;0
negativo (281).txt;0;0;0;0.9771398364036775;0;0;0;0;0;0.15032920560056579;0;0;0;0;0;0;0;0.15032920560056579
negativo (134).txt;0;0;0;0.9761870601839528;0;0;0;0;0;0;0.21693045781865616;0;0;0;0;0;0;0
positivo (684).txt;0;0;0;0.4368658089342457;0;0.8340165443290145;0;0;0;0;0;0;0;0;0;0.23829044123686127;0.23829044123686127;0
negativo (676).txt;0;0;0;0.7276068751089989;0;0;0.48507125007266594;0.48507125007266594;0;0;0;0;0;0;0;0;0;0
negativo (992).txt;0;0;0;0.4662524041201569;0;0.8392543274162825;0;0;0;0;0.27975144247209416;0;0;0;0;0;0;0
negativo (895).txt;0;0;0;0.7559289460184544;0;0.3779644730092272;0;0;0;0;0;0;0;0;0.3779644730092272;0.3779644730092272;0;0
positivo (199).txt;0;0;0;0;0;0.5345224838248488;0;0;0.5345224838248488;0.2672612419124244;0.2672612419124244;0;0;0;0;0;0.5345224838248488;0
negativo (400).txt;0;0;0;0.629940788348712;0;0.2519763153394848;0;0;0;0;0;0;0.3779644730092272;0.5039526306789696;0;0;0.3779644730092272;0
positivo (634).txt;0;0;0;0;0;0.6581451817144176;0.29250896965085227;0.29250896965085227;0;0;0.5118906968889915;0;0;0;0;0;0.36563621206356534;0
positivo (706).txt;0;0;0;0.7276068751089989;0;0;0.48507125007266594;0;0.48507125007266594;0;0;0;0;0;0;0;0;0
negativo (748).txt;0;0;0;0;0;0.8320502943378437;0;0;0.5547001962252291;0;0;0;0;0;0;0;0;0
positivo (41).txt;0;0;0;0.5773502691896257;0;0;0.46188021535170054;0;0;0;0.3464101615137754;0;0;0;0;0.46188021535170054;0.3464101615137754;0
positivo (57).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48507125007266594;0.7276068751089989;0.48507125007266594
positivo (424).txt;0;0;0;0;0;0.9622504486493763;0;0;0;0;0;0;0;0;0.19245008972987526;0;0.19245008972987526;0
negativo (789).txt;0;0;0;0.2773500981126146;0;0.5547001962252291;0;0;0.48536267169707553;0.20801257358446093;0.20801257358446093;0.41602514716892186;0;0;0;0;0.34668762264076824;0
positivo (571).txt;0;0;0;0.5121475197315839;0;0.7682212795973759;0;0;0;0;0;0;0;0;0;0;0;0.3841106397986879
negativo (2).txt;0;0;0;0.9805806756909202;0;0;0;0;0;0;0;0;0;0.19611613513818404;0;0;0;0
negativo (247).txt;0;0;0;0;0;0.816496580927726;0.408248290463863;0;0;0;0;0;0;0;0;0;0;0.408248290463863
positivo (352).txt;0.408248290463863;0;0;0;0;0.816496580927726;0;0;0;0;0;0.408248290463863;0;0;0;0;0;0
negativo (660).txt;0;0;0.3481553119113957;0;0;0.8703882797784892;0;0;0.3481553119113957;0;0;0;0;0;0;0;0;0
negativo (491).txt;0;0;0;0.7293249574894728;0;0;0;0;0;0;0.2917299829957891;0;0.4375949744936837;0.4375949744936837;0;0;0;0
positivo (578).txt;0;0;0;0;0.5298129428260175;0.6622661785325219;0;0;0;0;0;0.5298129428260175;0;0;0;0;0;0
negativo (466).txt;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0.8;0;0
negativo (513).txt;0;0.2626128657194451;0;0.6565321642986127;0;0.6565321642986127;0;0;0.2626128657194451;0;0;0;0;0;0;0;0;0
positivo (3).txt;0.4472135954999579;0;0.4472135954999579;0;0.4472135954999579;0.4472135954999579;0;0;0;0;0.4472135954999579;0;0;0;0;0;0;0
positivo (108).txt;0;0;0;0.8029550685469661;0;0.3441236008058426;0;0;0;0;0;0;0.3441236008058426;0;0;0;0.3441236008058426;0
negativo (175).txt;0;0.3144854510165755;0;0.8386278693775346;0;0.3144854510165755;0;0;0;0;0;0;0.3144854510165755;0;0;0;0;0
negativo (635).txt;0.3563483225498992;0;0;0.5345224838248488;0;0.6236095644623235;0;0;0;0;0;0;0.3563483225498992;0;0;0;0.2672612419124244;0
negativo (951).txt;0;0;0;0;0.13378001241813023;0.903015083822379;0;0;0;0;0;0.33445003104532556;0;0;0;0;0;0.23411502173172788
positivo (950).txt;0;0;0;0;0.3481553119113957;0.6963106238227914;0;0;0;0.5222329678670935;0;0.3481553119113957;0;0;0;0;0;0
positivo (587).txt;0;0;0;0;0;0.6546536707079772;0;0;0.4364357804719848;0;0.4364357804719848;0;0;0;0;0.4364357804719848;0;0
negativo (579).txt;0;0;0;0;0;0.47140452079103173;0.23570226039551587;0.7071067811865476;0.47140452079103173;0;0;0;0;0;0;0;0;0
negativo (626).txt;0;0;0;0.9191450300180578;0;0;0;0;0;0;0;0;0.39391929857916763;0;0;0;0;0
positivo (465).txt;0;0.3234983196103152;0;0.3234983196103152;0;0.6469966392206304;0;0;0;0;0;0;0.43133109281375365;0.43133109281375365;0;0;0;0
positivo (149).txt;0;0;0;0;0;0.8427009716003844;0;0;0;0;0;0.2407717061715384;0;0;0;0;0.4815434123430768;0
positivo (562).txt;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
positivo (474).txt;0;0;0;0.30151134457776363;0;0.9045340337332909;0;0;0;0;0;0;0;0;0;0.30151134457776363;0;0
positivo (537).txt;0;0;0;0;0;0.808290376865476;0;0;0.23094010767585027;0;0;0.23094010767585027;0;0;0;0;0.3464101615137754;0.3464101615137754
negativo (522).txt;0;0;0;0.4;0;0.4;0.4;0;0;0;0.4;0;0;0.6;0;0;0;0
positivo (521).txt;0;0;0.329292779969071;0.7683498199278324;0;0;0;0;0;0;0;0;0.329292779969071;0;0;0.4390570399587614;0;0
negativo (9).txt;0;0;0;0.4472135954999579;0;0.5962847939999439;0;0.29814239699997197;0;0;0;0;0;0;0;0.5962847939999439;0;0
negativo (125).txt;0;0;0.3233808333817773;0.8892972917998876;0;0;0;0;0;0;0.3233808333817773;0;0;0;0;0;0;0
positivo (609).txt;0;0;0;0;0;0.5970223141259935;0;0;0.39801487608399566;0.19900743804199783;0.19900743804199783;0;0;0;0;0.4975185951049946;0.39801487608399566;0
negativo (1000).txt;0.4242640687119285;0;0;0;0;0.7071067811865475;0;0;0;0;0;0.565685424949238;0;0;0;0;0;0
negativo (610).txt;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
negativo (563).txt;0;0;0;0;0;0.928279121632914;0.309426373877638;0;0;0;0;0;0;0;0;0.20628424925175867;0;0
negativo (739).txt;0;0;0;0.8922045061903835;0;0;0;0;0;0;0.08497185773241747;0.16994371546483494;0.16994371546483494;0.08497185773241747;0;0.12745778659862622;0;0.3398874309296699
positivo (530).txt;0;0;0;0;0.35990787537434726;0.791797325823564;0;0;0.21594472522460836;0.1439631501497389;0;0;0;0.35990787537434726;0;0;0.21594472522460836;0
positivo (361).txt;0;0;0.7715167498104595;0;0.3086066999241838;0.4629100498862757;0;0;0;0;0;0;0;0.3086066999241838;0;0;0;0
negativo (369).txt;0;0;0;0.43685202833051895;0.3494816226644152;0.7863336509949341;0;0;0;0;0;0;0;0;0.26211121699831136;0;0;0
positivo (230).txt;0;0;0;0.8320502943378437;0;0;0;0;0;0;0;0;0;0;0;0.5547001962252291;0;0
negativo (441).txt;0;0;0;0;0;0.9486832980505138;0;0;0;0;0;0;0;0.31622776601683794;0;0;0;0
negativo (854).txt;0;0;0;0.9615239476408232;0;0;0;0;0;0;0;0;0;0.27472112789737807;0;0;0;0
negativo (554).txt;0;0;0;0.5262348115842176;0;0.7893522173763263;0;0;0;0;0;0;0;0;0;0.2631174057921088;0;0.17541160386140586
negativo (238).txt;0;0;0.4685212856658182;0;0;0;0;0;0.6246950475544243;0.6246950475544243;0;0;0;0;0;0;0;0
positivo (16).txt;0.3965257928590721;0;0;0.3965257928590721;0.23791547571544325;0.7930515857181442;0;0;0;0;0;0;0;0;0;0;0;0
positivo (957).txt;0;0;0;0;0;0.9162708326722891;0.18325416653445784;0;0;0;0.18325416653445784;0;0;0;0;0.18325416653445784;0.24433888871261045;0
positivo (731).txt;0;0;0;0.40201512610368484;0;0.30151134457776363;0;0;0.7035264706814485;0;0.502518907629606;0;0;0;0;0;0;0
positivo (82).txt;0;0;0;0;0;0.7276068751089989;0;0;0.48507125007266594;0;0;0.48507125007266594;0;0;0;0;0;0
negativo (723).txt;0;0;0;0.6546536707079772;0;0;0.4364357804719848;0;0.4364357804719848;0;0;0;0;0.4364357804719848;0;0;0;0
positivo (246).txt;0;0;0;0;0;0.6;0;0;0.8;0;0;0;0;0;0;0;0;0
positivo (862).txt;0;0;0;0;0.4558423058385518;0.6837634587578276;0;0;0;0.4558423058385518;0;0;0;0;0;0.3418817293789138;0;0
negativo (74).txt;0;0;0;0;0;0.6123724356957946;0;0;0.20412414523193154;0;0.20412414523193154;0.6123724356957946;0;0;0;0;0.4082482904638631;0
positivo (643).txt;0.51425947722658;0;0;0.44997704257325755;0;0.6428243465332251;0;0;0.25712973861329;0;0;0;0;0;0.128564869306645;0.19284730395996752;0;0
negativo (967).txt;0;0;0;0;0;0.6804138174397717;0;0.408248290463863;0;0;0;0;0;0;0.2721655269759087;0.5443310539518174;0;0
negativo (143).txt;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0
positivo (377).txt;0;0;0.8944271909999159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4472135954999579
positivo (158).txt;0;0;0;0;0.4082482904638631;0;0;0;0.8164965809277261;0;0.4082482904638631;0;0;0;0;0;0;0
positivo (659).txt;0;0;0;0;0.7071067811865475;0;0;0.7071067811865475;0;0;0;0;0;0;0;0;0;0
negativo (836).txt;0;0;0;0.5533715710928597;0;0.5533715710928597;0;0;0;0;0;0;0;0;0.6225430174794672;0;0;0
positivo (133).txt;0;0;0;0.8703882797784892;0.3481553119113957;0;0;0;0;0;0;0;0;0;0;0.3481553119113957;0;0
positivo (98).txt;0;0;0;0;0.4500351603704096;0.4500351603704096;0;0.562543950463012;0;0;0;0;0;0;0.2250175801852048;0.3375263702778072;0.3375263702778072;0
positivo (264).txt;0;0;0;0.4364357804719848;0;0.4364357804719848;0;0;0;0;0;0;0;0;0;0.6546536707079772;0.4364357804719848;0
positivo (747).txt;0;0;0;0.6396021490668313;0;0.6396021490668313;0.21320071635561044;0;0;0;0;0.21320071635561044;0;0;0;0.21320071635561044;0;0.21320071635561044
positivo (941).txt;0;0;0;0.8783100656536799;0.19518001458970666;0.3903600291794133;0;0;0.19518001458970666;0;0;0;0;0;0;0;0;0
negativo (949).txt;0;0.20203050891044214;0;0.7071067811865476;0;0.40406101782088427;0;0;0;0.20203050891044214;0.30304576336566325;0;0;0;0;0.40406101782088427;0;0
positivo (456).txt;0.4472135954999579;0;0;0;0.4472135954999579;0.4472135954999579;0;0;0;0;0;0;0;0;0;0;0.4472135954999579;0.4472135954999579
positivo (869).txt;0;0;0;0.6804138174397717;0;0.6804138174397717;0;0;0;0;0;0.2721655269759087;0;0;0;0;0;0
negativo (335).txt;0;0;0;0.6488856845230502;0;0.48666426339228763;0;0;0;0.48666426339228763;0;0;0;0;0;0.3244428422615251;0;0
negativo (40).txt;0;0;0;0;0;0.47809144373375745;0.23904572186687872;0;0.5976143046671968;0;0;0.35856858280031806;0;0;0;0;0.47809144373375745;0
negativo (757).txt;0;0.1403724812687193;0;0.49130368444051753;0;0.5614899250748772;0;0;0.21055872190307892;0;0;0;0.1403724812687193;0.5614899250748772;0;0.21055872190307892;0;0
