document;big;featur;bad;isn;year;feel;american;run;good;scene;plai;cast;high;problem;act;humor;music;audienc;find;friend;action;laugh;doesn;town;director;work;made;gener;wife;film;real;girl;funni;script;comedi;final;john;gui;brother;love;minut;don;role;fact;young;kid;origin;show;direct;back;turn;famili;life;alien;long;moment;lot;pictur;world;plot;end;man;make;human;live;set;star;movi;sex;perform;kill;great;stori;actor;call;charact;watch;time;thing
positivo (819).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5718909991054935;0;0;0;0;0.10197426414147176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48361112045833127;0;0;0;0;0;0;0;0.19243054217011735;0;0.5456566256699388;0;0;0;0;0;0;0;0.30641728421643327;0
positivo (966).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3500329449137828;0;0.6418291431787481;0;0;0;0;0.19903480147300717;0;0;0;0.036089633074428557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.430449633728141;0;0.4286970649649711;0;0;0;0;0.1373299740285589;0;0;0;0;0.1915395316262842;0;0;0;0;0;0;0;0;0;0;0
negativo (732).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32278149957197205;0;0;0.06361303049174573;0;0;0;0;0;0;0.7111364742068002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22507682544345994;0;0;0;0;0.37039291035828936;0;0;0.4451964909374927;0;0;0
negativo (416).txt;0;0;0;0;0;0.49758380305160177;0;0;0.24985686056314904;0;0.17723027120988213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7256299387220358;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33281361892022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14583424230469505;0;0;0;0;0;0;0;0;0;0;0
negativo (394).txt;0;0;0;0;0;0;0.9473641568306305;0;0;0;0.30973273181489064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08103572789253892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
positivo (205).txt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6425239831728587;0;0;0;0.27464394205890597;0;0;0;0.1493979799763524;0;0;0.3812853142785856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3981976482583378;0;0.2643013766268078;0;0;0;0;0.21747098109195903;0;0;0.2613908499739383;0;0;0
negativo (65).txt;0;0;0;0;0;0;0;0;0.4760146765099329;0;0.3376501650888927;0;0;0;0;0;0;0;0;0;0.5818748724316758;0;0;0;0;0;0;0;0;0.04416989890071882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25891580049354534;0.41675405381071473;0;0;0;0.27955627968877966;0;0;0;0;0;0;0
negativo (901).txt;0.5934047459423928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35936783471515005;0;0;0;0;0;0;0;0.031334722505102476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581309912156361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3974545468448176;0;0;0;0;0.14782547565241055;0;0;0;0;0;0;0;0;0;0;0
positivo (853).txt;0.25343122169630083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2799698808173108;0;0;0;0;0.3752559960255836;0;0;0;0;0.1338242921089414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.497681185741559;0;0;0;0;0;0;0;0;0;0.268468140659324;0;0;0;0;0;0;0;0;0;0;0;0;0.2540967185687944;0.15584092959476414;0.2514617419949166;0;0;0.4762533227089792;0;0
negativo (450).txt;0;0;0;0;0;0;0;0;0;0.3786553694617353;0.2662497414208052;0;0;0;0;0;0;0;0;0.4857734023132125;0;0;0;0;0;0;0;0;0;0.15479827449090883;0;0;0.47408117899632646;0;0;0;0;0;0;0.25568366991294605;0;0.27095407029234947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10954203545155748;0;0;0;0;0;0;0;0;0;0.38762122376525415;0
